iter	Passed	Remaining
0	104	209845
1	222	222596
2	350	233169
3	470	234664
4	590	235594
5	708	235322
6	830	236574
7	943	234825
8	1014	224360
9	1115	221945
10	1218	220371
11	1319	218664
12	1425	217874
13	1529	216939
14	1632	216000
15	1736	215293
16	1844	215201
17	1910	210392
18	2021	210749
19	2120	209947
20	2218	209044
21	2317	208361
22	2417	207836
23	2521	207641
24	2621	207101
25	2721	206644
26	2829	206790
27	2931	206446
28	3031	206016
29	3116	204668
30	3221	204633
31	3328	204720
32	3429	204403
33	3529	204074
34	3633	203989
35	3732	203607
36	3832	203320
37	3934	203127
38	4042	203250
39	4135	202616
40	4231	202206
41	4319	201378
42	4422	201254
43	4524	201133
44	4573	198705
45	4673	198520
46	4775	198443
47	4873	198180
48	4973	198014
49	5077	198035
50	5182	198064
51	5287	198067
52	5391	198043
53	5497	198104
54	5597	197952
55	5684	197340
56	5790	197394
57	5892	197306
58	5997	197296
59	6102	197307
60	6200	197082
61	6306	197136
62	6406	196962
63	6545	198014
64	6648	197922
65	6747	197715
66	6831	197104
67	6934	197022
68	7036	196928
69	7139	196836
70	7243	196799
71	7349	196810
72	7454	196786
73	7557	196707
74	7661	196635
75	7764	196565
76	7867	196479
77	7970	196410
78	8066	196138
79	8173	196158
80	8273	196003
81	8376	195938
82	8483	195935
83	8592	195996
84	8696	195937
85	8798	195808
86	8906	195833
87	8951	194489
88	9051	194362
89	9164	194500
90	9285	194785
91	9395	194849
92	9496	194739
93	9591	194474
94	9688	194281
95	9787	194114
96	9881	193856
97	9973	193574
98	10074	193457
99	10180	193436
100	10281	193308
101	10388	193304
102	10506	193497
103	10610	193442
104	10718	193435
105	10824	193410
106	10928	193347
107	11032	193265
108	11129	193076
109	11237	193086
110	11341	193003
111	11503	193914
112	11707	195506
113	11828	195695
114	11928	195531
115	12028	195354
116	12136	195332
117	12266	195639
118	12370	195534
119	12476	195460
120	12590	195512
121	12705	195584
122	12808	195464
123	12926	195568
124	13043	195652
125	13167	195840
126	13304	196208
127	13438	196537
128	13566	196762
129	13682	196824
130	13792	196782
131	13895	196642
132	13997	196498
133	14096	196299
134	14202	196199
135	14219	194885
136	14323	194783
137	14438	194808
138	14539	194665
139	14661	194794
140	14763	194647
141	14859	194429
142	14958	194249
143	15061	194130
144	15159	193940
145	15259	193777
146	15362	193652
147	15461	193475
148	15562	193325
149	15664	193191
150	15764	193033
151	15867	192915
152	15968	192767
153	16073	192673
154	16179	192588
155	16296	192636
156	16399	192507
157	16503	192404
158	16608	192303
159	16726	192355
160	16846	192428
161	16948	192290
162	17053	192188
163	17155	192054
164	17253	191877
165	17350	191693
166	17442	191453
167	17541	191289
168	17641	191136
169	17770	191296
170	17868	191124
171	17966	190943
172	18065	190788
173	18170	190684
174	18275	190589
175	18384	190529
176	18482	190354
177	18593	190322
178	18708	190322
179	18807	190160
180	18905	189993
181	19005	189842
182	19113	189776
183	19216	189660
184	19319	189544
185	19427	189474
186	19532	189370
187	19634	189243
188	19740	189154
189	19850	189101
190	19957	189023
191	20086	189151
192	20197	189103
193	20308	189059
194	20414	188969
195	20432	188062
196	20537	187967
197	20649	187934
198	20759	187876
199	20866	187802
200	20978	187762
201	21091	187736
202	21193	187607
203	21286	187406
204	21382	187230
205	21483	187097
206	21592	187028
207	21701	186963
208	21808	186889
209	21924	186877
210	22021	186715
211	22118	186550
212	22235	186546
213	22357	186593
214	22467	186532
215	22578	186480
216	22681	186361
217	22792	186309
218	22906	186286
219	23009	186169
220	23115	186076
221	23224	186005
222	23324	185864
223	23427	185745
224	23533	185650
225	23628	185476
226	23666	184846
227	23768	184724
228	23785	183950
229	23882	183790
230	23984	183675
231	24094	183614
232	24188	183436
233	24287	183300
234	24398	183245
235	24500	183127
236	24603	183019
237	24699	182860
238	24715	182109
239	24817	181994
240	24922	181906
241	25031	181837
242	25170	181993
243	25272	181877
244	25373	181759
245	25475	181644
246	25499	180976
247	25601	180860
248	25710	180800
249	25810	180671
250	25917	180595
251	26027	180538
252	26131	180442
253	26243	180397
254	26351	180326
255	26463	180285
256	26573	180221
257	26680	180144
258	26736	179723
259	26847	179672
260	26959	179625
261	27070	179571
262	27088	178908
263	27208	178917
264	27233	178301
265	27352	178307
266	27448	178160
267	27548	178038
268	27656	177965
269	27766	177908
270	27869	177809
271	27973	177715
272	28083	177654
273	28200	177644
274	28307	177562
275	28414	177490
276	28524	177425
277	28635	177375
278	28750	177348
279	28854	177250
280	28953	177123
281	29057	177024
282	29172	176993
283	29285	176952
284	29391	176867
285	29495	176768
286	29607	176717
287	29716	176648
288	29827	176592
289	29930	176487
290	30043	176443
291	30158	176405
292	30271	176362
293	30375	176257
294	30480	176168
295	30584	176064
296	30685	175950
297	30783	175817
298	30898	175778
299	31002	175680
300	31105	175574
301	31204	175445
302	31308	175349
303	31412	175247
304	31525	175197
305	31633	175123
306	31736	175017
307	31837	174901
308	31943	174813
309	32042	174683
310	32149	174597
311	32257	174521
312	32357	174400
313	32469	174344
314	32578	174269
315	32698	174252
316	32806	174175
317	32920	174126
318	33029	174050
319	33138	173977
320	33238	173854
321	33339	173739
322	33451	173676
323	33561	173609
324	33664	173502
325	33775	173435
326	33874	173308
327	33968	173158
328	34075	173068
329	34179	172969
330	34281	172858
331	34387	172767
332	34488	172651
333	34602	172600
334	34714	172538
335	34818	172434
336	34922	172333
337	35020	172199
338	35122	172087
339	35218	171948
340	35321	171842
341	35420	171715
342	35513	171560
343	35596	171362
344	35692	171220
345	35788	171079
346	35886	170950
347	35983	170820
348	36083	170696
349	36188	170604
350	36287	170478
351	36386	170357
352	36488	170243
353	36588	170125
354	36688	170005
355	36787	169885
356	36887	169764
357	36989	169653
358	37091	169547
359	37185	169402
360	37283	169272
361	37384	169160
362	37478	169014
363	37609	169036
364	37733	169027
365	37833	168907
366	37926	168756
367	38021	168619
368	38122	168503
369	38224	168394
370	38321	168263
371	38421	168146
372	38526	168050
373	38625	167928
374	38719	167784
375	38816	167655
376	38915	167534
377	39009	167390
378	39109	167274
379	39211	167164
380	39315	167063
381	39414	166945
382	39513	166823
383	39613	166706
384	39711	166583
385	39804	166434
386	39910	166344
387	40008	166222
388	40108	166103
389	40218	166030
390	40330	165963
391	40440	165890
392	40557	165842
393	40681	165824
394	40791	165748
395	40907	165696
396	41006	165575
397	41111	165477
398	41213	165371
399	41321	165287
400	41435	165225
401	41545	165146
402	41683	165182
403	41782	165062
404	41881	164940
405	41992	164868
406	42105	164801
407	42206	164686
408	42305	164568
409	42394	164409
410	42490	164276
411	42591	164164
412	42704	164096
413	42819	164039
414	42919	163923
415	43013	163783
416	43108	163646
417	43209	163533
418	43321	163463
419	43416	163327
420	43509	163187
421	43604	163050
422	43701	162925
423	43794	162781
424	43893	162665
425	43983	162510
426	44070	162347
427	44168	162225
428	44305	162246
429	44435	162242
430	44564	162230
431	44693	162219
432	44788	162085
433	44886	161965
434	44995	161879
435	45095	161765
436	45218	161732
437	45348	161721
438	45474	161698
439	45599	161671
440	45733	161674
441	45853	161629
442	45948	161494
443	46035	161333
444	46126	161185
445	46246	161137
446	46374	161117
447	46507	161116
448	46610	161006
449	46723	160937
450	46814	160789
451	46895	160606
452	46973	160416
453	47055	160238
454	47134	160048
455	47248	159981
456	47363	159917
457	47464	159803
458	47546	159629
459	47632	159466
460	47717	159298
461	47795	159112
462	47881	158948
463	47969	158794
464	48061	158654
465	48190	158637
466	48298	158547
467	48402	158445
468	48505	158341
469	48602	158216
470	48708	158120
471	48800	157980
472	48895	157850
473	48983	157697
474	49057	157500
475	49135	157317
476	49235	157204
477	49338	157097
478	49437	156982
479	49535	156862
480	49635	156749
481	49725	156605
482	49799	156410
483	49882	156243
484	49961	156066
485	50066	155967
486	50156	155825
487	50270	155756
488	50375	155658
489	50484	155575
490	50593	155489
491	50692	155375
492	50795	155270
493	50896	155163
494	50981	155002
495	51059	154826
496	51143	154665
497	51227	154504
498	51325	154386
499	51424	154272
500	51506	154107
501	51596	153967
502	51682	153813
503	51774	153678
504	51856	153514
505	51941	153360
506	52022	153195
507	52095	153005
508	52177	152841
509	52270	152711
510	52380	152630
511	52482	152526
512	52596	152457
513	52710	152389
514	52856	152410
515	52976	152359
516	53067	152221
517	53155	152079
518	53272	152015
519	53395	151972
520	53508	151898
521	53615	151808
522	53727	151731
523	53836	151647
524	53932	151525
525	54013	151359
526	54100	151213
527	54179	151047
528	54271	150913
529	54377	150819
530	54488	150741
531	54600	150664
532	54689	150524
533	54774	150373
534	54863	150233
535	54952	150093
536	55040	149951
537	55126	149804
538	55212	149658
539	55322	149574
540	55423	149470
541	55527	149371
542	55633	149278
543	55743	149196
544	55862	149137
545	55985	149089
546	56070	148940
547	56156	148795
548	56238	148637
549	56336	148523
550	56434	148410
551	56525	148278
552	56632	148186
553	56716	148035
554	56798	147881
555	56872	147705
556	56952	147545
557	57039	147403
558	57141	147299
559	57242	147195
560	57367	147152
561	57487	147095
562	57590	146993
563	57697	146902
564	57841	146907
565	57944	146807
566	58027	146656
567	58117	146521
568	58196	146361
569	58286	146227
570	58382	146108
571	58481	146000
572	58581	145891
573	58681	145784
574	58759	145622
575	58834	145452
576	58921	145311
