iter	RMSE
0	0.8409902354
1	0.818791718
2	0.7974087321
3	0.7763526637
4	0.756475548
5	0.7375262263
6	0.718992557
7	0.7016248821
8	0.6849808466
9	0.6687154992
10	0.6529021523
11	0.6380185214
12	0.6239246189
13	0.6102180958
14	0.5975529592
15	0.5851391477
16	0.5733925147
17	0.5620708405
18	0.5511897459
19	0.5406816023
20	0.5307580365
21	0.5212180622
22	0.5119365146
23	0.5032236756
24	0.4947832755
25	0.486734305
26	0.4791498179
27	0.4717300583
28	0.4645462474
29	0.4580004907
30	0.4516705525
31	0.4456005537
32	0.4396861835
33	0.4344298016
34	0.4290594493
35	0.4240403777
36	0.4191410926
37	0.4146941147
38	0.4103250362
39	0.4062430791
40	0.4021757356
41	0.3985878067
42	0.3948310797
43	0.391659294
44	0.3887288291
45	0.3856776409
46	0.3824417295
47	0.379708878
48	0.3770675564
49	0.3744388104
50	0.3720952719
51	0.3697917238
52	0.3673902185
53	0.3652240797
54	0.3628772079
55	0.3609400851
56	0.358956745
57	0.3570885459
58	0.3551795093
59	0.3534956407
60	0.3519329937
61	0.3503089384
62	0.3488384612
63	0.3474700105
64	0.3460453519
65	0.344655304
66	0.3434773581
67	0.3420089374
68	0.3407200287
69	0.3396010337
70	0.3383719123
71	0.337175315
72	0.3360733591
73	0.3347850075
74	0.3336584929
75	0.3326601915
76	0.3316106148
77	0.3305233792
78	0.3296157144
79	0.3284605773
80	0.3275613074
81	0.3267610708
82	0.3260434981
83	0.3253672209
84	0.3247024107
85	0.3239072282
86	0.3230944526
87	0.3226916408
88	0.3220213186
89	0.3213607335
90	0.3206263208
91	0.3200753269
92	0.3193489694
93	0.3189069833
94	0.3184090855
95	0.3177677569
96	0.3172722643
97	0.3166990717
98	0.31612204
99	0.3156582296
100	0.3151823007
101	0.3146727076
102	0.3141155558
103	0.3135289266
104	0.3130682139
105	0.3125399851
106	0.3121041474
107	0.3116192456
108	0.3110828891
109	0.3105884255
110	0.3101889465
111	0.3095398634
112	0.3090414177
113	0.3087440685
114	0.3084200371
115	0.3079230582
116	0.3075010287
117	0.3071638045
118	0.3068113334
119	0.3065195219
120	0.3062195838
121	0.3057593636
122	0.3053690173
123	0.3051139385
124	0.3048192726
125	0.3045369433
126	0.3041359814
127	0.3036116958
128	0.3031226943
129	0.3028402669
130	0.3025857278
131	0.3020363997
132	0.3016198547
133	0.30134558
134	0.301048321
135	0.3010178736
136	0.3006692361
137	0.300147425
138	0.2998116994
139	0.2993847815
140	0.2990954786
141	0.2987029015
142	0.2984645326
143	0.2980767166
144	0.2978995144
145	0.2976448672
146	0.2973821475
147	0.2972410618
148	0.2969155708
149	0.2967400359
150	0.2964788759
151	0.2963288414
152	0.2960598076
153	0.2958174191
154	0.2954223011
155	0.2952829112
156	0.2950965404
157	0.2949104337
158	0.2943864153
159	0.2940698828
160	0.2935952998
161	0.293386016
162	0.2931533027
163	0.2927791784
164	0.2925268926
165	0.291991071
166	0.2916643277
167	0.2913935002
168	0.2911817884
169	0.2908804317
170	0.2906952521
171	0.2903330737
172	0.2900017759
173	0.2897669147
174	0.2895347919
175	0.2892780205
176	0.2890419451
177	0.288596303
178	0.2881303354
179	0.2879938755
180	0.2877759903
181	0.2876055701
182	0.2873253219
183	0.2871870983
184	0.2869998542
185	0.2868412498
186	0.2866629824
187	0.2864772386
188	0.2863457202
189	0.286081146
190	0.2858841548
191	0.2856243289
192	0.285469747
193	0.2853660595
194	0.2851540827
195	0.2851486778
196	0.2849065318
197	0.2847631171
198	0.2846445965
199	0.2844927194
200	0.2843943308
201	0.284289239
202	0.2839419209
203	0.283778295
204	0.2835713657
205	0.2834683575
206	0.283322027
207	0.2829324661
208	0.2826792184
209	0.2825431567
210	0.2823555898
211	0.2822093617
212	0.282104929
213	0.2818732089
214	0.2816546618
215	0.2812138227
216	0.2809758532
217	0.2806881282
218	0.2806153787
219	0.2804163964
220	0.2803068031
221	0.2800477951
222	0.2797032219
223	0.2795323751
224	0.2793899944
225	0.2791836261
226	0.2791680865
227	0.2790566447
228	0.2790503124
229	0.2788337342
230	0.2785798634
231	0.2783154915
232	0.2781431152
233	0.2777872568
234	0.277614028
235	0.2774131593
236	0.2770602074
237	0.2770150618
238	0.2770116708
239	0.2768063307
240	0.276586676
241	0.2763256938
242	0.276177468
243	0.2759778717
244	0.2759000175
245	0.2757394437
246	0.2757137185
247	0.2754776808
248	0.275191475
249	0.2750095799
250	0.2748969541
251	0.2748025953
252	0.2746181984
253	0.2744903409
254	0.274347898
255	0.2741535518
256	0.2739363333
257	0.2737886693
258	0.2737843972
259	0.273736256
260	0.2735321082
261	0.2733388795
262	0.2733327034
263	0.2731756368
264	0.2731728763
265	0.2729489303
266	0.2727460748
267	0.2725087698
268	0.2722430314
269	0.2721568335
270	0.2719321011
271	0.2717654258
272	0.2716261407
273	0.2714574325
274	0.2713325332
275	0.2712044602
276	0.2710401494
