iter	Passed	Remaining
0	72	145280
1	151	150949
2	238	158787
3	383	191518
4	528	211067
5	627	208450
6	692	197302
7	757	188522
8	803	177846
9	896	178312
10	973	175992
11	1044	173065
12	1117	170862
13	1200	170329
14	1275	168787
15	1361	168826
16	1435	167453
17	1483	163384
18	1555	162212
19	1627	161146
20	1696	159882
21	1762	158458
22	1832	157514
23	1902	156600
24	1965	155243
25	2036	154622
26	2107	154037
27	2194	154550
28	2283	155169
29	2351	154441
30	2433	154543
31	2501	153833
32	2565	152898
33	2632	152192
34	2703	151762
35	2765	150864
36	2834	150388
37	2903	149907
38	2971	149410
39	3035	148737
40	3099	148081
41	3162	147430
42	3243	147633
43	3320	147611
44	3354	145754
45	3426	145536
46	3492	145104
47	3561	144815
48	3629	144509
49	3697	144219
50	3767	143976
51	3831	143534
52	3900	143293
53	3971	143118
54	4041	142929
55	4099	142311
56	4181	142526
57	4264	142801
58	4339	142776
59	4407	142502
60	4479	142380
61	4545	142079
62	4608	141685
63	4674	141399
64	4738	141063
65	4805	140817
66	4867	140427
67	4936	140251
68	5012	140283
69	5116	141073
70	5213	141656
71	5299	141908
72	5375	141886
73	5449	141827
74	5526	141842
75	5596	141688
76	5669	141585
77	5741	141473
78	5812	141329
79	5885	141248
80	5955	141101
81	6026	140956
82	6098	140850
83	6177	140913
84	6266	141186
85	6336	141012
86	6406	140875
87	6437	139865
88	6507	139718
89	6576	139573
90	6640	139311
91	6709	139158
92	6780	139030
93	6850	138895
94	6920	138770
95	6990	138641
96	7059	138501
97	7121	138217
98	7211	138466
99	7302	138738
100	7376	138685
101	7449	138615
102	7517	138449
103	7584	138269
104	7653	138122
105	7723	137995
106	7787	137768
107	7847	137484
108	7913	137280
109	7981	137128
110	8051	137020
111	8123	136946
112	8210	137114
113	8293	137212
114	8364	137098
115	8435	137005
116	8505	136888
117	8569	136676
118	8639	136556
119	8727	136728
120	8795	136586
121	8871	136558
122	8944	136497
123	9018	136444
124	9089	136340
125	9164	136297
126	9249	136416
127	9343	136653
128	9412	136517
129	9481	136384
130	9548	136224
131	9621	136163
132	9691	136044
133	9767	136009
134	9837	135908
135	9849	134998
136	9922	134926
137	9994	134850
138	10067	134788
139	10142	134750
140	10226	134827
141	10315	134977
142	10392	134951
143	10463	134857
144	10529	134707
145	10599	134595
146	10668	134486
147	10734	134324
148	10804	134216
149	10871	134084
150	10939	133957
151	11006	133821
152	11077	133727
153	11145	133600
154	11230	133675
155	11298	133556
156	11363	133398
157	11432	133287
158	11502	133181
159	11570	133060
160	11638	132934
161	11707	132834
162	11776	132717
163	11848	132644
164	11918	132546
165	11988	132447
166	12056	132335
167	12125	132229
168	12206	132251
169	12319	132619
170	12405	132683
171	12483	132678
172	12553	132578
173	12619	132433
174	12689	132328
175	12759	132230
176	12837	132215
177	12911	132161
178	12985	132103
179	13057	132025
180	13128	131935
181	13208	131938
182	13302	132078
183	13391	132166
184	13465	132104
185	13535	132007
186	13603	131891
187	13674	131801
188	13748	131742
189	13822	131676
190	13890	131561
191	13961	131475
192	14036	131420
193	14110	131358
194	14178	131239
195	14193	130641
196	14273	130635
197	14346	130566
198	14418	130489
199	14488	130398
200	14560	130322
201	14636	130278
202	14709	130210
203	14778	130112
204	14849	130025
205	14922	129957
206	14987	129821
207	15054	129699
208	15120	129575
209	15194	129512
210	15282	129572
211	15362	129568
212	15436	129509
213	15509	129435
214	15574	129302
215	15646	129228
216	15716	129139
217	15785	129037
218	15883	129172
219	15949	129049
220	16015	128922
221	16087	128841
222	16151	128704
223	16230	128682
224	16310	128669
225	16394	128691
226	16423	128273
227	16493	128184
228	16504	127638
229	16569	127513
230	16636	127405
231	16708	127333
232	16780	127258
233	16855	127204
234	16931	127166
235	17000	127070
236	17074	127013
237	17144	126925
238	17157	126417
239	17244	126462
240	17324	126444
241	17394	126358
242	17465	126285
243	17535	126195
244	17607	126124
245	17680	126060
246	17698	125608
247	17766	125512
248	17835	125423
249	17901	125313
250	17969	125212
251	18036	125108
252	18102	125002
253	18175	124938
254	18268	125011
255	18361	125085
256	18438	125049
257	18508	124970
258	18543	124648
259	18612	124558
260	18681	124473
261	18750	124384
262	18762	123919
263	18834	123850
264	18846	123393
265	18924	123367
266	18991	123267
267	19063	123198
268	19148	123221
269	19236	123258
270	19348	123442
271	19443	123521
272	19530	123549
273	19607	123512
274	19676	123427
275	19745	123340
276	19814	123251
277	19882	123156
278	19953	123079
279	20022	122994
280	20090	122899
281	20165	122850
282	20240	122802
283	20321	122785
284	20389	122694
285	20460	122619
286	20527	122518
287	20597	122440
288	20666	122351
289	20736	122274
290	20805	122188
291	20876	122112
292	20949	122052
293	21022	121989
294	21093	121911
295	21164	121839
296	21240	121793
297	21329	121821
298	21417	121843
299	21503	121851
300	21590	121865
301	21662	121797
302	21732	121716
303	21805	121653
304	21883	121615
305	21952	121529
306	22023	121449
307	22092	121362
308	22165	121301
309	22234	121213
310	22329	121271
311	22408	121235
312	22477	121148
313	22543	121043
314	22608	120939
315	22672	120825
316	22738	120720
317	22807	120638
318	22885	120598
319	22973	120611
320	23042	120524
321	23109	120429
322	23178	120343
323	23249	120268
324	23333	120254
325	23432	120323
326	23529	120383
327	23620	120407
328	23694	120345
329	23771	120297
330	23841	120218
331	23910	120128
332	23985	120072
333	24056	119993
334	24132	119941
335	24209	119894
336	24292	119874
337	24379	119875
338	24450	119801
339	24522	119725
340	24592	119644
341	24663	119568
342	24727	119456
343	24782	119303
344	24852	119219
345	24921	119133
346	24992	119054
347	25059	118961
348	25128	118873
349	25199	118799
350	25278	118758
351	25365	118755
352	25441	118704
353	25511	118622
354	25579	118528
355	25646	118433
356	25707	118313
357	25776	118224
358	25846	118143
359	25911	118042
360	25978	117947
361	26043	117843
362	26112	117759
363	26176	117652
364	26245	117564
365	26329	117548
366	26415	117538
367	26489	117473
368	26573	117454
369	26646	117388
370	26711	117285
371	26778	117191
372	26847	117105
373	26912	117005
374	26975	116895
375	27043	116805
376	27108	116701
377	27177	116618
378	27251	116557
379	27329	116507
380	27403	116445
381	27466	116337
382	27530	116231
383	27597	116140
384	27671	116077
385	27740	115991
386	27806	115894
387	27876	115815
388	27944	115730
389	28017	115661
390	28084	115571
391	28153	115487
392	28225	115417
393	28314	115414
394	28402	115409
395	28473	115331
396	28544	115258
397	28608	115150
398	28672	115050
399	28739	114959
400	28808	114876
401	28875	114785
402	28945	114706
403	29019	114641
404	29091	114568
405	29160	114486
406	29229	114405
407	29317	114395
408	29407	114396
409	29475	114307
410	29545	114227
411	29613	114140
412	29678	114044
413	29743	113943
414	29814	113870
415	29880	113776
416	29949	113691
417	30014	113594
418	30097	113564
419	30174	113514
420	30244	113435
421	30330	113416
422	30417	113399
423	30498	113362
424	30572	113297
425	30637	113200
426	30704	113111
427	30771	113021
428	30850	112974
429	30920	112894
430	30989	112813
431	31062	112744
432	31127	112648
433	31195	112562
434	31262	112473
435	31367	112518
436	31464	112538
437	31549	112512
438	31625	112453
439	31707	112417
440	31784	112363
441	31859	112302
442	31930	112223
443	32005	112163
444	32077	112091
445	32155	112039
446	32227	111965
447	32310	111934
448	32401	111926
449	32514	111995
450	32615	112020
451	32719	112056
452	32816	112068
453	32902	112042
454	32976	111973
455	33048	111900
456	33125	111843
457	33200	111778
458	33272	111706
459	33368	111713
460	33460	111705
461	33568	111748
462	33664	111754
463	33760	111758
464	33843	111718
465	33956	111779
466	34020	111676
467	34092	111602
468	34159	111509
469	34230	111430
470	34303	111359
471	34385	111314
472	34468	111274
473	34554	111243
474	34640	111215
475	34731	111198
476	34801	111115
477	34872	111037
478	34937	110938
479	35018	110891
